English,French,nllb-200-distilled-600M
A guy works on a building.,Un gars travaille sur un bâtiment.,Un type travaille sur un bâtiment.
Three people sit in a cave.,Trois personnes sont assises dans une grotte.,Trois personnes sont dans une cave.
People standing outside of a building.,Des gens debout devant un bâtiment.,Des gens debout à l'extérieur d'un bâtiment.
A man cutting branches of trees.,Un homme coupant les branches d'un arbre.,Un homme coupe des branches d'arbres.
A child is splashing in the water,Un enfant éclabousse dans l'eau,Un enfant est en train de sauter dans l'eau
A pretty woman plays a harpsichord.,Une jolie femme joue de la harpe.,Une jolie femme joue du harpsichord.
People sit inside a train.,Des gens sont assis dans un train.,Les gens sont assis à l'intérieur d'un train.
A toddler is cooking with another person.,Un bébé cuisine avec une autre personne.,Un enfant est en train de cuisiner avec une autre personne.
A man cooking food on the stove.,Un homme cuisinant des aliments sur la cuisinière.,Un homme cuisine la nourriture au four.
A car parked at the beach.,Une voiture garée sur la plage.,Une voiture garée à la plage.
Two men wearing black in a city,Deux hommes habillés en noir dans une ville,Deux hommes en noir dans une ville
A young girl swimming in a pool,Une jeune fille nageant dans une piscine,Une jeune fille nageant dans une piscine
Three teenagers in a subway playing around.,Trois adolescents s'amusant sur un quai de métro.,Trois adolescents dans un métro jouant autour.
The boy is wakeboarding on the lake.,Le garçon fait du wakeboard sur le lac.,Le garçon est en wakeboarding sur le lac.
A man is working a hotdog stand.,Un homme travaille sur un stand de hot-dog.,Un homme travaille dans un stand de hotdogs.
Two Indian men participating in a ceremony.,Deux Indiens participant à une cérémonie.,Deux hommes indiens participant à une cérémonie.
Man scaling wall with fire in hand,Un homme escaladant un mur avec du feu à la main,Homme à la scalpe mur avec feu à la main
A fox terrier leaps after a ball.,Un fox terrier bondit pour attraper un ballon.,Un fox terrier saute après une balle.
A little girl opening a Christmas present.,Une petite fille ouvrant un cadeau de Noël.,Une petite fille ouvrant un cadeau de Noël.
Two dogs play by a tree.,Deux chiens jouent près d'un arbre.,Deux chiens jouent à un arbre.
Dogs run at a dog racetrack.,Des chiens courent lors d'une course de chiens.,Des chiens courent sur une piste de course.
Two German sheperds snarling at each other.,Deux bergers allemands grognant l'un sur l'autre.,Deux bergers allemands se grincant les uns les autres.
A view of a crowded city street.,Une photo d'une rue bondée en ville.,Une vue d'une rue de ville bondée.
Three men are walking up hill.,Trois hommes montent une pente.,Trois hommes sont en train de monter la colline.
Three construction workers are mending pavement.,Trois ouvriers du bâtiment réparent la chaussée.,Trois ouvriers de construction sont en train de remettre le pavillon.
A dog jumps over an obstacle outside.,Un chien saute par-dessus un obstacle dehors.,Un chien saute sur un obstacle à l'extérieur.
A light brown dog is running up.,Un chien brun clair monte une pente en courant.,Un chien brun clair est en train de monter.
A crowd on a busy daytime street.,Une foule dans une rue bien remplie en journée.,"Une foule, c'est une rue de jour."
A man on his wedding day.,Un homme le jour de son mariage.,Un homme le jour de son mariage.
An Asian woman pinning her hair back.,Une femme asiatique attachant ses cheveux en arrière.,Une femme asiatique qui a les cheveux en arrière.
A small black dog jumping over gates,Un petit chien noir sautant par-dessus des barrières,Un petit chien noir sautant sur des portes
A blond child swinging on a swing.,Un enfant blond se balançant sur une balançoire.,"Une blonde enfant swinging, on fait un swing."
An Asian man is cooking food outdoors.,Un homme asiatique fait cuire de la nourriture dehors.,Un Asiatique cuisine à l'extérieur.
A man doing a trick on skateboard,Un homme faisant une figure en skateboard,Un homme qui fait un truc sur un skateboard
Two soccer teams are on the field.,Deux équipes de football sont sur le terrain.,Deux équipes de football sont sur le terrain.
A biker jumps an obstacle.,Un cycliste saute un obstacle.,Un biker saute un obstacle.
Three people smiling and holding political signs.,Trois personnes souriant et tenant des pancartes politiques.,Trois personnes souriantes et tenant des panneaux politiques.
